id,type,latitude,longitude,shop_type,name,address,street,city,postcode
10891344581,node,54.1164467,-6.2646464,car_repair,Warrrenpoint Accident Repair Centre,"85, Upper Dromore Road, Warrenpoint",Upper Dromore Road,Warrenpoint,
10905661133,node,55.1330094,-6.6647107,tattoo,Tattoo Parlour,,,,
10905669049,node,55.1335795,-6.6608019,music,Culbertson music,,,,
10905681641,node,55.1336604,-6.6644475,e-cigarette,Ziggicig,,,,
10905681642,node,55.1315932,-6.6668958,clothes,Isabella lingerie,,,,
10905681859,node,55.1329134,-6.665334,hairdresser,Turkish Barbers,,,,
10905689766,node,55.1316577,-6.6685798,clothes,DV8,,,,
10905689767,node,55.1304255,-6.6700872,hairdresser,Hair & co,,,,
10905695339,node,55.1338076,-6.6641211,hairdresser,Guy n Girl,,,,
10905695340,node,55.1333215,-6.6645238,confectionery,Sweet Shack,,,,
10905698293,node,55.133,-6.6652609,charity,Age NI,,,,
10905698646,node,55.1316779,-6.6682851,mobile_phone,BT,,,,
10905701389,node,55.1330959,-6.6646603,charity,British Red Cross,,,,
10905706525,node,55.1333287,-6.6649227,computer,Techmedics,,,,
10905706526,node,55.1327839,-6.6654163,craft,Itsy bitsy,,,,
10905709006,node,55.1337841,-6.6641619,dry_cleaning,Spick & Span,,,,
10905709008,node,55.1308646,-6.6697187,estate_agent,Pollock,,,,
10905709009,node,55.1303671,-6.6698082,beauty,Zâla Day Spa,,,,
10905709205,node,55.1338213,-6.6637084,coffee,The Station,"Railway Road, Coleraine",Railway Road,Coleraine,
10905709206,node,55.1307607,-6.6697053,estate_agent,McAfee,,,,
10905709207,node,55.1303669,-6.6700976,estate_agent,Mortgage IQ,,,,
10906431119,node,54.8561837,-5.8152679,e-cigarette,Ziggicig,,,,
10906471139,node,54.66948,-5.6541275,kiosk,Unknown,,,,
10908263104,node,55.1348088,-6.6637786,second_hand,Just As New,,,,
10908312103,node,55.1328065,-6.6551336,copyshop,Signature,,,,
10908324095,node,55.132572,-6.6557707,electrical,City electrical factors,,,,
10908327292,node,55.1347759,-6.6638519,antiques,Auld Times,,,,
10918135984,node,53.2928909,-6.1372816,vacant,Unknown,"George's Street Lower, Dún Laoghaire",George's Street Lower,Dún Laoghaire,
10918210702,node,53.2925576,-6.1353506,mobile_phone,Vodafone,,,,
10920126737,node,53.3424604,-6.5385363,fuel,Unknown,,,,
10920126738,node,53.3422787,-6.5388648,hairdresser,The Meadow Hair,,,,
10920239221,node,53.6106922,-6.185407,hairdresser,Unknown,,,,
10920239264,node,53.6119066,-6.1868541,books,Book Haven,,,,
10921925542,node,53.4472942,-6.295927,trade,CVR,,,,
10922088541,node,53.3050323,-6.4280756,car,Auto Class Motors,"Kingswood Business Park, Baldonnell, D22E2F6",Kingswood Business Park,Baldonnell,D22E2F6
10922223291,node,53.3582401,-6.548298,interior_decoration,Interiors,,,,
10922315448,node,55.0706009,-6.5150726,camera,Camera Exchange,,,,
10922323476,node,55.0703092,-6.5165673,beauty,Pure Skin,,,,
10922327736,node,55.0724931,-6.5174412,hairdresser,Amanda's,,,,
10922347132,node,55.070298,-6.5166182,bakery,Sweetness & Light,,,,
10922347340,node,55.0724297,-6.5173131,hairdresser,Turkish Barber,,,,
10922352167,node,55.0718927,-6.5161898,houseware,Tassels & Tie Backs,,,,
10922352465,node,55.0723779,-6.5171953,beauty,Papillon,,,,
10922353619,node,55.072559,-6.5180977,stationery,j h office supplies,,,,
10922735574,node,53.2936648,-6.3237664,hairdresser,Spawell Barber,,,,
10924874722,node,53.3440668,-6.5074299,car,Tony King Motos,,,,
10928197971,node,54.7223476,-5.791379,butcher,Fergus Butchery,,,,
10931628754,node,54.3317357,-6.2736547,department_store,M&S Outlet,,,,
10933643730,node,53.9977558,-6.8917401,convenience,Centra,"Lisdrumskea, Shercock",Lisdrumskea,Shercock,
10935135445,node,53.3153549,-6.3337556,car_repair,Unknown,Greenhills Road,Greenhills Road,,
10935135450,node,53.3130566,-6.342229,car,Bloomfield Car Sales,,,,
