Official School Name,Latitude,Longitude,Enrollment
St. Angela's College,51.902863,-8.470368,608
Ursuline College Blackrock,51.895751,-8.416103,321
Mount Mercy College,51.889898,-8.516914,793
Scoil Mhuire,51.902221,-8.468071,440
Regina Mundi College,51.883151,-8.443819,560
Christ King Girls' Secondary School,51.88427,-8.462222,720
Presentation Secondary School,51.883846,-8.478417,168
St Patricks College,51.908326,-8.454949,184
Scoil Mhuire Secondary School,55.131336,-7.458074,900
St Eunan's College,54.951993,-7.745485,998
Loreto Secondary School,54.95019,-7.741206,938
St Columbas College,54.804345,-7.774472,938
Presentation College,53.298286,-8.761993,1081
Colaiste Sheosaimh,53.323749,-8.249219,465
Ardscoil Mhuire,53.322304,-8.246749,483
Coláiste Mhuire,53.524244,-8.321261,264
St. Cuan's College,53.428697,-8.473183,410
St Joseph's College,53.272593,-9.058094,777
Coláiste Iognáid S.J.,53.26996,-9.061383,628
Coláiste Einde,53.265705,-9.089665,803
Dominican College,53.268575,-9.076906,610
Jesus & Mary Secondary School,53.263809,-9.089557,674
Presentation College,53.468371,-9.110354,834
Seamount College,53.138747,-8.935411,620
St Raphaels College,53.197706,-8.5627,745
Holy Rosary College,53.469752,-8.497492,703
Calasanctius College,53.267583,-8.933209,902
St Pauls,53.430087,-9.32835,481
Colaiste Chroi Mhuire,53.243757,-9.307488,281
Mercy College,53.049012,-8.397263,160
Marist College,53.425156,-7.92629,584
Our Lady's Bower,53.422456,-7.922146,664
Meán Scoil an Chlochair,53.367551299154,-7.49265083670972,693
"Colaiste Mhuire,",53.527279,-7.346872,841
St Finian's College,53.539018,-7.355282,849
Loreto College,53.529699,-7.346149,841
Wilson's Hospital School,53.6117,-7.417284,481
St Joseph's Secondary School,53.414234,-7.302234,1049
St. Mary's C.B.S.,53.049875,-7.2793,739
Scoil Chriost Ri,53.048767,-7.280179,791
F.C.J. Secondary School,52.656315,-6.646386,1003
St. Mary's C.B.S.,52.497448,-6.569228,755
Coláiste Bríde,52.502817,-6.55919,761
Christian Brothers Secondary School,52.398542,-6.940958,423
Good Counsel College,52.39583,-6.931456,780
St. Mary's Secondary School,52.399489,-6.930871,668
Our Lady of Lourdes Secondary School,52.398297,-6.953164,210
Christian Brothers Secondary School,52.333533,-6.463421,711
St Peter's College,52.335051,-6.472301,782
Loreto Secondary School,52.322869,-6.48575,901
Presentation Secondary School,52.336022,-6.46457,958
Mercy Secondary School,53.567323,-7.764913,755
Cnoc Mhuire,53.780364,-7.488724,520
St. Mel's College,53.728993,-7.793771,604
Meán Scoil Muire,53.725613,-7.796149,595
St. Joseph's C.B.S.,53.724209,-6.331242,968
St Mary's Diocesan School,53.708474,-6.347505,874
Our Lady's College,53.720359,-6.326852,934
