School Name,Latitude,Longitude,Enrollment
POWERSCOURT N S,53.188429,-6.167362,97
BALLYMACELLIGOTT 1 N S,52.238559,-9.614344,25
TULLYLEASE MIXED N S,52.315627,-8.942212,29
S N LEITIRGEIS,53.598585,-9.912787,28
S N BHAILE AN CHROSAIGH,52.41511,-9.687596,37
CLOGHOOLA MIXED N S,52.025561,-9.067371,15
AGHATUBRID N S,51.891446,-10.228124,60
MARTINSTOWN N S,52.3973,-8.478989,74
GRANAGH NATIONAL SCHOOL,52.459263,-8.763588,67
STANHOPE STREET PRIMARY SCHOOL,53.352367,-6.282616,396
CURRANES N S,52.263513,-9.490653,87
UPPER NEWTOWN N S,52.402622,-7.393576,51
COOLICK NATIONAL SCHOOL,52.124896,-9.505534,110
MACROOM CONVENT N S,51.903072,-8.957567,317
LOUGHGUITANE N S,52.025365,-9.45594,113
Scoil Bhríde,52.039209,-9.474129,116
CREESLOUGH N S,55.123086,-7.90843,31
S N NAOMH TREASA,53.361522,-8.309771,36
LACKEN MXD N S,53.138844,-6.491135,94
MOIN AN BHEALAIGH N S,53.10657,-6.524554,112
CORLISS N S,53.974884,-7.497232,24
TASHINNY N S,53.59181,-7.696952,22
CROCHAN NAOFA N S,51.770545,-10.101735,53
S N ACHADH EOCHAILLE,51.705974,-8.884239,74
DRUMACRUTTIN N S,54.195841,-6.940518,14
SCOIL NAOMH MEARNOG,53.422217,-6.134995,629
SCOIL NUACHABHAIL,52.234029,-9.554533,121
CHARLEVILLE N S,53.273267,-7.481516,136
SCOIL MHUIRE B&C,52.228879,-9.385025,99
SCOIL MHUIRE,54.115491,-7.012933,73
ALL SAINTS N S,53.289376,-6.180878,54
KILGARIFFE N S,51.625736,-8.874308,51
SCOIL EASA DHUIBHE,52.552212,-9.560182,59
FERMOY ADAIR N S,52.14272,-8.274446,26
BALLYDREHID N S,52.407571,-7.965343,22
COSBY N S,53.013441,-7.14542,36
ST BRENDANS NATIONAL SCHOOL,51.681477,-9.454778,32
S N AN ARD MHOIR,53.305342,-9.774704,16
KILBARRON N S,54.498745,-8.180829,44
CHAPELIZOD N S,53.350272,-6.344708,28
BALLYMANA N S,53.198742,-8.710891,107
KILBRIDE N S,53.19816,-6.467392,104
SOUTH ABBEY NS,51.947918,-7.850568,221
BALLINCARRIGA MXD N S,51.704611,-9.036661,102
CLONTIBRET N S,54.194513,-6.850243,28
SCOIL AN FHIRTEARAIGH,52.165509,-10.408175,54
BOSTON N S,53.031498,-8.932741,25
COBH N S,51.852003,-8.287225,12
Scoil Chorp Chríost,52.463,-9.371435,99
BALLYOUGHTER N S,52.614574,-6.366077,50
DRUMBARRAGH N S,53.726141,-6.940722,93
PRESENTATION CONVENT NATIONAL SCHOOL,52.802849,-7.209946,108
CASTLEPOLLARD PAROC.N S,53.67946,-7.302256,24
S N NA COILLE GLAISE,53.413868,-8.349222,129
TUBBER N S,52.99017,-8.8941,40
CHURCH STREET NATIONAL SCHOOL,52.518778,-8.944792,22
S N MHUIRE DE LOURDES,52.400078,-9.616856,96
THREEN N S,53.732393,-8.552698,35
GARRYDOOLIS N S,52.508177,-8.335931,30
KILBEG N S,53.791071,-6.803044,105
S N NAOMH BRID,52.413287,-9.388115,179
S N NAOMH PEADAR,53.717162,-6.355349,91
ST MARYS N S,52.700395,-6.959789,110
S N NAOMH PADRAIG,53.870984,-8.028823,21
SEIR KIERANS N S,53.069667,-7.785869,63
Killeshandra National School ( C of I),54.012871,-7.528214,46
NEWMARKET B N S,52.2145,-9.004688,93
CLOONBONNIF N S,53.78107,-8.582156,19
SN CILL MHIC ABHAIDH,51.582147,-9.138127,45
SN AN GHLEANNA,52.169129,-10.289438,24
BURNFORT N S,52.067231,-8.598006,93
DRUIMNE N S,52.314622,-8.79978,63
CARRICKERRY N S,52.492492,-9.148831,59
S N MUIRE GAN SMAL,53.377557,-9.546862,17
BALLYGUILTENANE N S,52.524211,-9.29093,25
KILMAGNER N S,52.124531,-8.170514,64
FAYTHE CONVENT,52.331075,-6.454114,238
Scoil Atha na mBlath,52.123521,-9.377498,65
PORTROE N S,52.882273,-8.353192,128
BRITTAS BAY MXD N S,52.901518,-6.050661,135
S N MHUIRE,53.347758,-9.61943,33
"Sacred Heart National School, Caim",52.512234,-6.679902,103
GURTAGARRY N S,52.820644,-7.978478,69
FAHA NATIONAL SCHOOL,52.105992,-9.642412,219
BALLYCONELL CENTRAL N S,54.11715,-7.587507,26
SCOIL BHREANAINN,51.884754,-10.368682,105
MAHOONAGH N S,52.430932,-9.009582,241
LISNAMROCK N S,52.611876,-7.586497,69
LISMOIL N S,53.499984,-8.160211,16
