"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Median Price","2024 December","All Dwelling Statuses","A96: Glenageary","Executions","All Buyer Types","Euro","855000"
"Median Price","2024 December","All Dwelling Statuses","A98: Bray","Executions","All Buyer Types","Euro","498500"
"Median Price","2024 December","All Dwelling Statuses","C15: Navan","Executions","All Buyer Types","Euro","374999"
"Median Price","2024 December","All Dwelling Statuses","D01: Dublin 1","Executions","All Buyer Types","Euro","338500"
"Median Price","2024 December","All Dwelling Statuses","D02: Dublin 2","Executions","All Buyer Types","Euro","480000"
"Median Price","2024 December","All Dwelling Statuses","D03: Dublin 3","Executions","All Buyer Types","Euro","510000"
"Median Price","2024 December","All Dwelling Statuses","D04: Dublin 4","Executions","All Buyer Types","Euro","850000"
"Median Price","2024 December","All Dwelling Statuses","D05: Dublin 5","Executions","All Buyer Types","Euro","510000"
"Median Price","2024 December","All Dwelling Statuses","D06: Dublin 6","Executions","All Buyer Types","Euro","535000"
"Median Price","2024 December","All Dwelling Statuses","D07: Dublin 7","Executions","All Buyer Types","Euro","454500"
"Median Price","2024 December","All Dwelling Statuses","D08: Dublin 8","Executions","All Buyer Types","Euro","338000"
"Median Price","2024 December","All Dwelling Statuses","D09: Dublin 9","Executions","All Buyer Types","Euro","437500"
"Median Price","2024 December","All Dwelling Statuses","D10: Dublin 10","Executions","All Buyer Types","Euro","320000"
"Median Price","2024 December","All Dwelling Statuses","D11: Dublin 11","Executions","All Buyer Types","Euro","348445"
"Median Price","2024 December","All Dwelling Statuses","D12: Dublin 12","Executions","All Buyer Types","Euro","483500"
"Median Price","2024 December","All Dwelling Statuses","D13: Dublin 13","Executions","All Buyer Types","Euro","473500"
"Median Price","2024 December","All Dwelling Statuses","D14: Dublin 14","Executions","All Buyer Types","Euro","737500"
"Median Price","2024 December","All Dwelling Statuses","D15: Dublin 15","Executions","All Buyer Types","Euro","474000"
"Median Price","2024 December","All Dwelling Statuses","D16: Dublin 16","Executions","All Buyer Types","Euro","612000"
"Median Price","2024 December","All Dwelling Statuses","D17: Dublin 17","Executions","All Buyer Types","Euro","342000"
"Median Price","2024 December","All Dwelling Statuses","D18: Dublin 18","Executions","All Buyer Types","Euro","627500"
"Median Price","2024 December","All Dwelling Statuses","D20: Dublin 20","Executions","All Buyer Types","Euro","410000"
"Median Price","2024 December","All Dwelling Statuses","D22: Dublin 22","Executions","All Buyer Types","Euro","450000"
"Median Price","2024 December","All Dwelling Statuses","D24: Dublin 24","Executions","All Buyer Types","Euro","375000"
"Median Price","2024 December","All Dwelling Statuses","D6W: Dublin 6W","Executions","All Buyer Types","Euro","748000"
"Median Price","2024 December","All Dwelling Statuses","E21: Cahir","Executions","All Buyer Types","Euro","255000"
"Median Price","2024 December","All Dwelling Statuses","E25: Cashel","Executions","All Buyer Types","Euro","240000"
"Median Price","2024 December","All Dwelling Statuses","E32: Carrick-on-Suir","Executions","All Buyer Types","Euro","218000"
"Median Price","2024 December","All Dwelling Statuses","E34: Tipperary","Executions","All Buyer Types","Euro","260000"
"Median Price","2024 December","All Dwelling Statuses","E41: Thurles","Executions","All Buyer Types","Euro","210500"
"Median Price","2024 December","All Dwelling Statuses","E45: Nenagh","Executions","All Buyer Types","Euro","315000"
"Median Price","2024 December","All Dwelling Statuses","E53: Roscrea","Executions","All Buyer Types","Euro","190000"
"Median Price","2024 December","All Dwelling Statuses","E91: Clonmel","Executions","All Buyer Types","Euro","270000"
"Median Price","2024 December","All Dwelling Statuses","F12: Claremorris","Executions","All Buyer Types","Euro","191000"
"Median Price","2024 December","All Dwelling Statuses","F23: Castlebar","Executions","All Buyer Types","Euro","271000"
"Median Price","2024 December","All Dwelling Statuses","F26: Ballina","Executions","All Buyer Types","Euro","177000"
"Median Price","2024 December","All Dwelling Statuses","F28: Westport","Executions","All Buyer Types","Euro","276000"
"Median Price","2024 December","All Dwelling Statuses","F31: Ballinrobe","Executions","All Buyer Types","Euro","220000"
"Median Price","2024 December","All Dwelling Statuses","F35: Ballyhaunis","Executions","All Buyer Types","Euro","111250"
"Median Price","2024 December","All Dwelling Statuses","F42: Roscommon","Executions","All Buyer Types","Euro","250000"
"Median Price","2024 December","All Dwelling Statuses","F45: Castlerea","Executions","All Buyer Types","Euro","145000"
"Median Price","2024 December","All Dwelling Statuses","F52: Boyle","Executions","All Buyer Types","Euro","170000"
"Median Price","2024 December","All Dwelling Statuses","F56: Ballymote","Executions","All Buyer Types","Euro","122750"
"Median Price","2024 December","All Dwelling Statuses","F91: Sligo","Executions","All Buyer Types","Euro","215000"
"Median Price","2024 December","All Dwelling Statuses","F92: Letterkenny","Executions","All Buyer Types","Euro","235000"
"Median Price","2024 December","All Dwelling Statuses","F93: Lifford","Executions","All Buyer Types","Euro","190000"
"Median Price","2024 December","All Dwelling Statuses","F94: Donegal","Executions","All Buyer Types","Euro","188000"
"Median Price","2024 December","All Dwelling Statuses","H12: Cavan","Executions","All Buyer Types","Euro","235000"
"Median Price","2024 December","All Dwelling Statuses","H14: Belturbet","Executions","All Buyer Types","Euro","261500"
"Median Price","2024 December","All Dwelling Statuses","H16: Cootehill","Executions","All Buyer Types","Euro","175000"
"Median Price","2024 December","All Dwelling Statuses","H18: Monaghan","Executions","All Buyer Types","Euro","274000"
"Median Price","2024 December","All Dwelling Statuses","H23: Clones","Executions","All Buyer Types","Euro","163000"
"Median Price","2024 December","All Dwelling Statuses","H53: Ballinasloe","Executions","All Buyer Types","Euro","285000"
"Median Price","2024 December","All Dwelling Statuses","H54: Tuam","Executions","All Buyer Types","Euro","266000"
"Median Price","2024 December","All Dwelling Statuses","H62: Loughrea","Executions","All Buyer Types","Euro","300000"
"Median Price","2024 December","All Dwelling Statuses","H65: Athenry","Executions","All Buyer Types","Euro","433000"
"Median Price","2024 December","All Dwelling Statuses","H71: Clifden","Executions","All Buyer Types","Euro",""
"Median Price","2024 December","All Dwelling Statuses","H91: Galway","Executions","All Buyer Types","Euro","365000"
"Median Price","2024 December","All Dwelling Statuses","K32: Balbriggan","Executions","All Buyer Types","Euro","415000"
"Median Price","2024 December","All Dwelling Statuses","K34: Skerries","Executions","All Buyer Types","Euro","675338"
"Median Price","2024 December","All Dwelling Statuses","K36: Malahide","Executions","All Buyer Types","Euro","495000"
"Median Price","2024 December","All Dwelling Statuses","K45: Lusk","Executions","All Buyer Types","Euro","366000"
"Median Price","2024 December","All Dwelling Statuses","K56: Rush","Executions","All Buyer Types","Euro","365000"
"Median Price","2024 December","All Dwelling Statuses","K67: Swords","Executions","All Buyer Types","Euro","412000"
"Median Price","2024 December","All Dwelling Statuses","K78: Lucan","Executions","All Buyer Types","Euro","470000"
"Median Price","2024 December","All Dwelling Statuses","N37: Athlone","Executions","All Buyer Types","Euro","297500"
"Median Price","2024 December","All Dwelling Statuses","N39: Longford","Executions","All Buyer Types","Euro","206250"
"Median Price","2024 December","All Dwelling Statuses","N41: Carrick-on-Shannon","Executions","All Buyer Types","Euro","281500"
"Median Price","2024 December","All Dwelling Statuses","N91: Mullingar","Executions","All Buyer Types","Euro","295000"
"Median Price","2024 December","All Dwelling Statuses","P12: Macroom","Executions","All Buyer Types","Euro","409999"
"Median Price","2024 December","All Dwelling Statuses","P14: Crookstown","Executions","All Buyer Types","Euro","525000"
"Median Price","2024 December","All Dwelling Statuses","P17: Kinsale","Executions","All Buyer Types","Euro","490000"
"Median Price","2024 December","All Dwelling Statuses","P24: Cobh","Executions","All Buyer Types","Euro","276000"
"Median Price","2024 December","All Dwelling Statuses","P25: Midleton","Executions","All Buyer Types","Euro","346000"
"Median Price","2024 December","All Dwelling Statuses","P31: Ballincollig","Executions","All Buyer Types","Euro","407475"
"Median Price","2024 December","All Dwelling Statuses","P32: Rylane","Executions","All Buyer Types","Euro","330000"
"Median Price","2024 December","All Dwelling Statuses","P36: Youghal","Executions","All Buyer Types","Euro","197000"
"Median Price","2024 December","All Dwelling Statuses","P43: Carrigaline","Executions","All Buyer Types","Euro","394999"
"Median Price","2024 December","All Dwelling Statuses","P47: Dunmanway","Executions","All Buyer Types","Euro","278000"
"Median Price","2024 December","All Dwelling Statuses","P51: Mallow","Executions","All Buyer Types","Euro","235000"
"Median Price","2024 December","All Dwelling Statuses","P56: Charleville","Executions","All Buyer Types","Euro","230000"
"Median Price","2024 December","All Dwelling Statuses","P61: Fermoy","Executions","All Buyer Types","Euro","339500"
"Median Price","2024 December","All Dwelling Statuses","P67: Mitchelstown","Executions","All Buyer Types","Euro","309000"
"Median Price","2024 December","All Dwelling Statuses","P72: Bandon","Executions","All Buyer Types","Euro","384999"
"Median Price","2024 December","All Dwelling Statuses","P75: Bantry","Executions","All Buyer Types","Euro","245000"
"Median Price","2024 December","All Dwelling Statuses","P81: Skibbereen","Executions","All Buyer Types","Euro","322500"
"Median Price","2024 December","All Dwelling Statuses","P85: Clonakilty","Executions","All Buyer Types","Euro","367700"
"Median Price","2024 December","All Dwelling Statuses","R14: Athy","Executions","All Buyer Types","Euro","270000"
"Median Price","2024 December","All Dwelling Statuses","R21: Mhuine Bheag","Executions","All Buyer Types","Euro","285000"
"Median Price","2024 December","All Dwelling Statuses","R32: Portlaoise","Executions","All Buyer Types","Euro","275000"
"Median Price","2024 December","All Dwelling Statuses","R35: Tullamore","Executions","All Buyer Types","Euro","242000"
"Median Price","2024 December","All Dwelling Statuses","R42: Birr","Executions","All Buyer Types","Euro","250000"
"Median Price","2024 December","All Dwelling Statuses","R45: Edenderry","Executions","All Buyer Types","Euro","305000"
"Median Price","2024 December","All Dwelling Statuses","R51: Kildare","Executions","All Buyer Types","Euro","449999"
"Median Price","2024 December","All Dwelling Statuses","R56: Curragh","Executions","All Buyer Types","Euro","429085"
"Median Price","2024 December","All Dwelling Statuses","R93: Carlow","Executions","All Buyer Types","Euro","290000"
"Median Price","2024 December","All Dwelling Statuses","R95: Kilkenny","Executions","All Buyer Types","Euro","336000"
"Median Price","2024 December","All Dwelling Statuses","T12: Cork Southside","Executions","All Buyer Types","Euro","417500"
"Median Price","2024 December","All Dwelling Statuses","T23: Cork Northside","Executions","All Buyer Types","Euro","323875"
"Median Price","2024 December","All Dwelling Statuses","T34: Carrignavar","Executions","All Buyer Types","Euro",""
"Median Price","2024 December","All Dwelling Statuses","T45: Glanmire","Executions","All Buyer Types","Euro","385000"
"Median Price","2024 December","All Dwelling Statuses","T56: Watergrasshill","Executions","All Buyer Types","Euro","464000"
"Median Price","2024 December","All Dwelling Statuses","V14: Shannon","Executions","All Buyer Types","Euro","300000"
"Median Price","2024 December","All Dwelling Statuses","V15: Kilrush","Executions","All Buyer Types","Euro","175000"
